Day of Date,Type,Start date,12 months ago,Ann.Change,TA
31-Dec-14,Rent price index,Dec-14,Dec-13,5%,Auckland
31-Mar-15,Rent price index,Dec-14,Mar-14,6%,Auckland
30-Jun-15,Rent price index,Dec-14,Jun-14,6%,Auckland
30-Sep-15,Rent price index,Dec-14,Sep-14,6%,Auckland
31-Dec-15,Rent price index,Dec-14,Dec-14,6%,Auckland
31-Mar-16,Rent price index,Dec-14,Mar-15,4%,Auckland
30-Jun-16,Rent price index,Dec-14,Jun-15,4%,Auckland
30-Sep-16,Rent price index,Dec-14,Sep-15,4%,Auckland
31-Dec-16,Rent price index,Dec-14,Dec-15,4%,Auckland
31-Mar-17,Rent price index,Dec-14,Mar-16,5%,Auckland
30-Jun-17,Rent price index,Dec-14,Jun-16,4%,Auckland
30-Sep-17,Rent price index,Dec-14,Sep-16,4%,Auckland
31-Dec-17,Rent price index,Dec-14,Dec-16,3%,Auckland
31-Mar-18,Rent price index,Dec-14,Mar-17,2%,Auckland
30-Jun-18,Rent price index,Dec-14,Jun-17,2%,Auckland
30-Sep-18,Rent price index,Dec-14,Sep-17,2%,Auckland
31-Dec-18,Rent price index,Dec-14,Dec-17,2%,Auckland
31-Mar-19,Rent price index,Dec-14,Mar-18,2%,Auckland
30-Jun-19,Rent price index,Dec-14,Jun-18,2%,Auckland
30-Sep-19,Rent price index,Dec-14,Sep-18,2%,Auckland
31-Dec-19,Rent price index,Dec-14,Dec-18,2%,Auckland
31-Mar-20,Rent price index,Dec-14,Mar-19,2%,Auckland
30-Jun-20,Rent price index,Dec-14,Jun-19,1%,Auckland
30-Sep-20,Rent price index,Dec-14,Sep-19,0%,Auckland
31-Dec-20,Rent price index,Dec-14,Dec-19,1%,Auckland
31-Mar-21,Rent price index,Dec-14,Mar-20,1%,Auckland
30-Jun-21,Rent price index,Dec-14,Jun-20,2%,Auckland
30-Sep-21,Rent price index,Dec-14,Sep-20,2%,Auckland
31-Dec-21,Rent price index,Dec-14,Dec-20,3%,Auckland
31-Mar-22,Rent price index,Dec-14,Mar-21,3%,Auckland
30-Jun-22,Rent price index,Dec-14,Jun-21,2%,Auckland
30-Sep-22,Rent price index,Dec-14,Sep-21,2%,Auckland
31-Dec-22,Rent price index,Dec-14,Dec-21,1%,Auckland
31-Mar-23,Rent price index,Dec-14,Mar-22,3%,Auckland
30-Jun-23,Rent price index,Dec-14,Jun-22,6%,Auckland
30-Sep-23,Rent price index,Dec-14,Sep-22,7%,Auckland
31-Dec-23,Rent price index,Dec-14,Dec-22,7%,Auckland
31-Mar-24,Rent price index,Dec-14,Mar-23,6%,Auckland
30-Jun-24,Rent price index,Dec-14,Jun-23,3%,Auckland
30-Sep-24,Rent price index,Dec-14,Sep-23,0%,Auckland
31-Dec-24,Rent price index,Dec-14,Dec-23,-1%,Auckland
31-Dec-14,Rent price index,Dec-14,Dec-13,4%,Christchurch
31-Mar-15,Rent price index,Dec-14,Mar-14,2%,Christchurch
30-Jun-15,Rent price index,Dec-14,Jun-14,-2%,Christchurch
30-Sep-15,Rent price index,Dec-14,Sep-14,-4%,Christchurch
31-Dec-15,Rent price index,Dec-14,Dec-14,-3%,Christchurch
31-Mar-16,Rent price index,Dec-14,Mar-15,-3%,Christchurch
30-Jun-16,Rent price index,Dec-14,Jun-15,-5%,Christchurch
30-Sep-16,Rent price index,Dec-14,Sep-15,-4%,Christchurch
31-Dec-16,Rent price index,Dec-14,Dec-15,-3%,Christchurch
31-Mar-17,Rent price index,Dec-14,Mar-16,-2%,Christchurch
30-Jun-17,Rent price index,Dec-14,Jun-16,-3%,Christchurch
30-Sep-17,Rent price index,Dec-14,Sep-16,-2%,Christchurch
31-Dec-17,Rent price index,Dec-14,Dec-16,-1%,Christchurch
31-Mar-18,Rent price index,Dec-14,Mar-17,-1%,Christchurch
30-Jun-18,Rent price index,Dec-14,Jun-17,2%,Christchurch
30-Sep-18,Rent price index,Dec-14,Sep-17,2%,Christchurch
31-Dec-18,Rent price index,Dec-14,Dec-17,3%,Christchurch
31-Mar-19,Rent price index,Dec-14,Mar-18,3%,Christchurch
30-Jun-19,Rent price index,Dec-14,Jun-18,2%,Christchurch
30-Sep-19,Rent price index,Dec-14,Sep-18,2%,Christchurch
31-Dec-19,Rent price index,Dec-14,Dec-18,1%,Christchurch
31-Mar-20,Rent price index,Dec-14,Mar-19,2%,Christchurch
30-Jun-20,Rent price index,Dec-14,Jun-19,1%,Christchurch
30-Sep-20,Rent price index,Dec-14,Sep-19,2%,Christchurch
31-Dec-20,Rent price index,Dec-14,Dec-19,3%,Christchurch
31-Mar-21,Rent price index,Dec-14,Mar-20,3%,Christchurch
30-Jun-21,Rent price index,Dec-14,Jun-20,6%,Christchurch
30-Sep-21,Rent price index,Dec-14,Sep-20,6%,Christchurch
31-Dec-21,Rent price index,Dec-14,Dec-20,9%,Christchurch
31-Mar-22,Rent price index,Dec-14,Mar-21,7%,Christchurch
30-Jun-22,Rent price index,Dec-14,Jun-21,10%,Christchurch
30-Sep-22,Rent price index,Dec-14,Sep-21,9%,Christchurch
31-Dec-22,Rent price index,Dec-14,Dec-21,9%,Christchurch
31-Mar-23,Rent price index,Dec-14,Mar-22,7%,Christchurch
30-Jun-23,Rent price index,Dec-14,Jun-22,7%,Christchurch
30-Sep-23,Rent price index,Dec-14,Sep-22,8%,Christchurch
31-Dec-23,Rent price index,Dec-14,Dec-22,8%,Christchurch
31-Mar-24,Rent price index,Dec-14,Mar-23,8%,Christchurch
30-Jun-24,Rent price index,Dec-14,Jun-23,5%,Christchurch
30-Sep-24,Rent price index,Dec-14,Sep-23,3%,Christchurch
31-Dec-24,Rent price index,Dec-14,Dec-23,3%,Christchurch
31-Dec-14,Rent price index,Dec-14,Dec-13,2%,Wellington
31-Mar-15,Rent price index,Dec-14,Mar-14,3%,Wellington
30-Jun-15,Rent price index,Dec-14,Jun-14,1%,Wellington
30-Sep-15,Rent price index,Dec-14,Sep-14,2%,Wellington
31-Dec-15,Rent price index,Dec-14,Dec-14,3%,Wellington
31-Mar-16,Rent price index,Dec-14,Mar-15,3%,Wellington
30-Jun-16,Rent price index,Dec-14,Jun-15,4%,Wellington
30-Sep-16,Rent price index,Dec-14,Sep-15,4%,Wellington
31-Dec-16,Rent price index,Dec-14,Dec-15,5%,Wellington
31-Mar-17,Rent price index,Dec-14,Mar-16,6%,Wellington
30-Jun-17,Rent price index,Dec-14,Jun-16,8%,Wellington
30-Sep-17,Rent price index,Dec-14,Sep-16,6%,Wellington
31-Dec-17,Rent price index,Dec-14,Dec-16,7%,Wellington
31-Mar-18,Rent price index,Dec-14,Mar-17,6%,Wellington
30-Jun-18,Rent price index,Dec-14,Jun-17,4%,Wellington
30-Sep-18,Rent price index,Dec-14,Sep-17,5%,Wellington
31-Dec-18,Rent price index,Dec-14,Dec-17,7%,Wellington
31-Mar-19,Rent price index,Dec-14,Mar-18,9%,Wellington
30-Jun-19,Rent price index,Dec-14,Jun-18,7%,Wellington
30-Sep-19,Rent price index,Dec-14,Sep-18,8%,Wellington
31-Dec-19,Rent price index,Dec-14,Dec-18,6%,Wellington
31-Mar-20,Rent price index,Dec-14,Mar-19,4%,Wellington
30-Jun-20,Rent price index,Dec-14,Jun-19,3%,Wellington
30-Sep-20,Rent price index,Dec-14,Sep-19,2%,Wellington
31-Dec-20,Rent price index,Dec-14,Dec-19,5%,Wellington
31-Mar-21,Rent price index,Dec-14,Mar-20,2%,Wellington
30-Jun-21,Rent price index,Dec-14,Jun-20,5%,Wellington
30-Sep-21,Rent price index,Dec-14,Sep-20,7%,Wellington
31-Dec-21,Rent price index,Dec-14,Dec-20,5%,Wellington
31-Mar-22,Rent price index,Dec-14,Mar-21,5%,Wellington
30-Jun-22,Rent price index,Dec-14,Jun-21,3%,Wellington
30-Sep-22,Rent price index,Dec-14,Sep-21,-1%,Wellington
31-Dec-22,Rent price index,Dec-14,Dec-21,0%,Wellington
31-Mar-23,Rent price index,Dec-14,Mar-22,-1%,Wellington
30-Jun-23,Rent price index,Dec-14,Jun-22,0%,Wellington
30-Sep-23,Rent price index,Dec-14,Sep-22,3%,Wellington
31-Dec-23,Rent price index,Dec-14,Dec-22,2%,Wellington
31-Mar-24,Rent price index,Dec-14,Mar-23,1%,Wellington
30-Jun-24,Rent price index,Dec-14,Jun-23,0%,Wellington
30-Sep-24,Rent price index,Dec-14,Sep-23,0%,Wellington
31-Dec-24,Rent price index,Dec-14,Dec-23,-3%,Wellington
